-, Mon, 03 Jan 2022 15:37:48 GMT, /api/users/caolan1 GET 
-, Mon, 03 Jan 2022 15:37:55 GMT, /api/users/caolan1/favourites POST 
-, Mon, 03 Jan 2022 15:37:56 GMT, /api/users/caolan1/favourites POST 
-, Mon, 03 Jan 2022 15:37:59 GMT, /api/users GET 
61d317bad1596d65a8c43087, Mon, 03 Jan 2022 15:38:25 GMT, /api/users/61d317bad1596d65a8c43087 PUT 
-, Mon, 03 Jan 2022 15:38:32 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:38:43 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:38:43 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:38:43 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:38:44 GMT, /api/users/sam1 GET 
634649, Mon, 03 Jan 2022 15:38:51 GMT, /api/movies/634649 GET 
568124, Mon, 03 Jan 2022 15:38:51 GMT, /api/movies/568124 GET 
-, Mon, 03 Jan 2022 15:41:40 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:42:22 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:42:23 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:42:23 GMT, /api/movies?page=1 GET 
-, Mon, 03 Jan 2022 15:42:23 GMT, /api/languages GET 
-, Mon, 03 Jan 2022 15:42:23 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:42:23 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:42:24 GMT, /api/users/sam1 GET 
-, Mon, 03 Jan 2022 15:42:38 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:42:44 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:43:01 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:43:14 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:43:14 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:43:15 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:43:15 GMT, /api/users/sam1 GET 
634649, Mon, 03 Jan 2022 15:43:55 GMT, /api/movies/634649 GET 
634649, Mon, 03 Jan 2022 15:43:55 GMT, /api/movies/634649/images GET 
-, Mon, 03 Jan 2022 15:44:08 GMT, /api/tvshows?page=1 GET 
-, Mon, 03 Jan 2022 15:44:08 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:44:08 GMT, /api/languages GET 
-, Mon, 03 Jan 2022 15:44:50 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:52 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:52 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:53 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:54 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:55 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:55 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:57 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:44:58 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:45:06 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:45:07 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:45:07 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:45:08 GMT, /api/users/sam1 GET 
-, Mon, 03 Jan 2022 15:45:09 GMT, /api/users GET 
634649, Mon, 03 Jan 2022 15:45:12 GMT, /api/movies/634649 GET 
568124, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/568124 GET 
460458, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/460458 GET 
580489, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/580489 GET 
624860, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/624860 GET 
512195, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/512195 GET 
566525, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/566525 GET 
826749, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/826749 GET 
646380, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/646380 GET 
438695, Mon, 03 Jan 2022 15:45:13 GMT, /api/movies/438695 GET 
-, Mon, 03 Jan 2022 15:45:31 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:33 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:34 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:35 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:36 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:37 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:38 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:38 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:45:39 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:47:10 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:47:21 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:47:21 GMT, /api/users/user1/favourites GET 
-, Mon, 03 Jan 2022 15:47:22 GMT, /api/users/user1/favourites_show GET 
-, Mon, 03 Jan 2022 15:47:22 GMT, /api/users/user1 GET 
-, Mon, 03 Jan 2022 15:47:25 GMT, /api/users/user1/favourites POST 
-, Mon, 03 Jan 2022 15:47:26 GMT, /api/users/user1/favourites POST 
-, Mon, 03 Jan 2022 15:47:28 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:47:42 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:47:45 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:47:52 GMT, /api/users POST 
